epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.018481,0.007944,21.3765,0.9374
2,0.008469,0.007213,21.9087,0.9403
3,0.008381,0.007172,22.1606,0.9452
4,0.008405,0.007034,22.2750,0.9484
5,0.008345,0.007160,22.0310,0.9453
6,0.008207,0.007037,22.0785,0.9447
7,0.008136,0.007755,21.5300,0.9394
8,0.008047,0.007068,22.1276,0.9428
9,0.007853,0.011332,19.6438,0.9304
10,0.007999,0.007749,21.7218,0.9429
11,0.006174,0.004833,23.4923,0.9490
12,0.005067,0.004434,23.8726,0.9485
13,0.004901,0.004491,23.8261,0.9486
14,0.004776,0.004284,24.0061,0.9464
15,0.004752,0.004622,23.6472,0.9454
16,0.004454,0.004835,23.4937,0.9456
17,0.004401,0.004088,24.1980,0.9470
18,0.004396,0.004247,24.0212,0.9437
19,0.004054,0.003599,24.7438,0.9536
20,0.004168,0.003922,24.4676,0.9520
21,0.003985,0.004429,23.8416,0.9452
22,0.003960,0.003779,24.5378,0.9472
23,0.003909,0.003683,24.6853,0.9501
24,0.003791,0.003574,24.8496,0.9525
25,0.003718,0.003856,24.4605,0.9470
26,0.003712,0.003274,25.1365,0.9539
27,0.003659,0.004018,24.2280,0.9506
28,0.003617,0.003451,24.9127,0.9545
29,0.003527,0.003361,25.1024,0.9526
30,0.003555,0.003547,24.8237,0.9509
31,0.003403,0.003445,24.9485,0.9517
32,0.003422,0.004547,23.7049,0.9428
33,0.003208,0.003037,25.5960,0.9526
34,0.003120,0.002864,25.7538,0.9548
35,0.003119,0.003011,25.5594,0.9536
36,0.003103,0.003032,25.6229,0.9560
37,0.003045,0.002990,25.5949,0.9531
38,0.003092,0.003063,25.4661,0.9530
39,0.003033,0.002879,25.8336,0.9557
40,0.003109,0.002958,25.6476,0.9542
41,0.002921,0.002970,25.6483,0.9523
42,0.002918,0.002715,26.1409,0.9565
43,0.002894,0.002719,26.0663,0.9558
44,0.002895,0.002995,25.6229,0.9538
45,0.002872,0.002907,25.7864,0.9524
46,0.002846,0.002654,26.2243,0.9561
47,0.002895,0.002824,25.8455,0.9522
48,0.002819,0.002828,25.8476,0.9530
49,0.002824,0.002538,26.4362,0.9567
50,0.002883,0.002790,25.9204,0.9555
51,0.002830,0.002800,25.9501,0.9546
52,0.002838,0.002682,26.1439,0.9571
53,0.002781,0.002641,26.3130,0.9558
54,0.002784,0.002849,25.8868,0.9530
55,0.002819,0.002909,25.7688,0.9547
56,0.002753,0.002631,26.1825,0.9558
57,0.002783,0.002967,25.6583,0.9507
58,0.002742,0.002670,26.0689,0.9532
59,0.002680,0.002765,26.0532,0.9530
